onset	duration	trial_type	value	sample
8.578	4.0	right_hand	2	8578
16.628	4.0	right_elbow	1	16628
24.695	4.0	right_elbow	1	24695
32.745	4.0	right_elbow	1	32745
40.794	4.0	right_elbow	1	40794
48.861	4.0	right_hand	2	48861
56.911	4.0	right_hand	2	56911
64.961	4.0	right_hand	2	64961
73.027	4.0	right_hand	2	73027
81.077	4.0	right_hand	2	81077
89.127	4.0	right_elbow	1	89127
97.194	4.0	right_elbow	1	97194
105.244	4.0	right_elbow	1	105244
113.294	4.0	right_elbow	1	113294
121.36	4.0	right_hand	2	121360
129.41	4.0	right_hand	2	129410
137.46	4.0	right_hand	2	137460
145.527	4.0	right_hand	2	145527
153.576	4.0	right_elbow	1	153576
161.626	4.0	right_elbow	1	161626
169.693	4.0	right_elbow	1	169693
177.743	4.0	right_elbow	1	177743
185.793	4.0	right_hand	2	185793
193.859	4.0	right_hand	2	193859
201.909	4.0	right_hand	2	201909
209.959	4.0	right_elbow	1	209959
218.026	4.0	right_hand	2	218026
226.076	4.0	right_elbow	1	226076
234.125	4.0	right_hand	2	234125
242.175	4.0	right_hand	2	242175
250.225	4.0	right_hand	2	250225
258.292	4.0	right_hand	2	258292
266.342	4.0	right_elbow	1	266342
274.392	4.0	right_hand	2	274392
282.458	4.0	right_elbow	1	282458
290.508	4.0	right_elbow	1	290508
298.558	4.0	right_elbow	1	298558
306.625	4.0	right_hand	2	306625
314.675	4.0	right_elbow	1	314675
322.724	4.0	right_elbow	1	322724
